선릉역,서울시 강남구 테헤란로 지하 340,,,,,,,,,,,,,
한티역,서울시 강남구 선릉로 지하 228,,,,,,,,,,,,,
도곡역,서울시 강남구 남부순환로 지하 2814,,,,,,,,,,,,,
구룡역,서울시 강남구 개포동 175번지,,,,,,,,,,,,,
개포동역,서울시 강남구 개포동 지하 420(개포동),,,,,,,,,,,,,
대모산입구역,서울시 강남구 일원동 611번지,,,,,,,,,,,,,
수서역,서울시 강남구 광평로 지하 270(수서동),,,,,,,,,,,,,
복정역,경기도 성남시 수정구 복정로 4,,,,,,,,,,,,,
가천대역,경기도 성남시 수정구 태평1동 5113-9,,,,,,,,,,,,,
태평역,경기도 성남시 수정구 성남대로 지하 1229번지,,,,,,,,,,,,,
모란역,경기도 성남시 중원구 성남대로 지하 1147(성남동 1575),,,,,,,,,,,,,
야탑역,경기도 성남시 성남대로 지하 903(야탑동 688-1),,,,,,,,,,,,,
이매역,경기도 성남시 성남대로 지하 738,,,,,,,,,,,,,
서현역,경기도 성남시 분당구 성남대로 지하 601,,,,,,,,,,,,,
수내역,경기도 성남시 분당구 성남대로 지하 491(수내동),,,,,,,,,,,,,
정자역,경기도 성남시 분당구 성남대로 지하 333(정자동),,,,,,,,,,,,,
미금역,경기도 성남시 수정구 성남대로 지하 156,,,,,,,,,,,,,
오리역,경기도 성남시 분당구 성남대로 지하 55(구미동 795),,,,,,,,,,,,,
죽전역,경기도 용인시 수지구 포은대로 536(죽전동 1014),,,,,,,,,,,,,
보정역,경기도 용인시 수지구 포은대로 536(죽전동 1014),,,,,,,,,,,,,
구성역,경기도 용인시 기흥구 용구대로 2403,,,,,,,,,,,,,
신갈역,경기도 용인시 기흥구 기흥로 136,,,,,,,,,,,,,
기흥역,경기도 용인시 중부대로 460,,,,,,,,,,,,,
상갈역,경기도 용인시 기흥구 금화로 지하 40,,,,,,,,,,,,,
청명역,경기도 수원시 영통구 봉영로 지하 1670,,,,,,,,,,,,,
